"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.11049e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.22364e+00,0.00000e+00,4.38786e+05,1.00000e-15,2.90773e+00,-0.00000e+00,0.00000e+00,-9.96832e+04,1.51992e+00,4.98416e+04,0.00000e+00,4.98416e+04,-2.69679e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.15000e-01,3.15000e-01,0.00000e+00,2.50000e-02
4.96404e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.23044e+00,0.00000e+00,4.38840e+05,1.00000e-15,2.91217e+00,-0.00000e+00,0.00000e+00,-9.96832e+04,1.51992e+00,4.98416e+04,0.00000e+00,4.98416e+04,-2.69679e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.20000e-01,3.20000e-01,0.00000e+00,2.50000e-02
4.81760e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.23724e+00,0.00000e+00,4.38893e+05,1.00000e-15,2.91661e+00,-0.00000e+00,0.00000e+00,-9.96832e+04,1.51992e+00,4.98416e+04,0.00000e+00,4.98416e+04,-2.69679e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.25000e-01,3.25000e-01,0.00000e+00,2.50000e-02
4.67662e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.24384e+00,0.00000e+00,4.38946e+05,1.00000e-15,2.92090e+00,-0.00000e+00,0.00000e+00,-1.00108e+05,1.41939e+00,5.00541e+04,0.00000e+00,5.00541e+04,-2.54757e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.30000e-01,3.30000e-01,0.00000e+00,2.50000e-02
4.54039e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.25026e+00,0.00000e+00,4.38997e+05,1.00000e-15,2.92507e+00,-0.00000e+00,0.00000e+00,-1.00108e+05,1.41939e+00,5.00541e+04,0.00000e+00,5.00541e+04,-2.54757e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.35000e-01,3.35000e-01,0.00000e+00,2.50000e-02
4.40415e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.25667e+00,0.00000e+00,4.39047e+05,1.00000e-15,2.92925e+00,-0.00000e+00,0.00000e+00,-1.00108e+05,1.41939e+00,5.00541e+04,0.00000e+00,5.00541e+04,-2.54757e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.40000e-01,3.40000e-01,0.00000e+00,2.50000e-02
4.27051e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.26296e+00,0.00000e+00,4.39097e+05,1.00000e-15,2.93333e+00,-0.00000e+00,0.00000e+00,-1.00525e+05,1.32987e+00,5.02623e+04,0.00000e+00,5.02623e+04,-2.40902e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.45000e-01,3.45000e-01,0.00000e+00,2.50000e-02
4.14123e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.26903e+00,0.00000e+00,4.39145e+05,1.00000e-15,2.93725e+00,-0.00000e+00,0.00000e+00,-1.00525e+05,1.32987e+00,5.02623e+04,0.00000e+00,5.02623e+04,-2.40902e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.50000e-01,3.50000e-01,0.00000e+00,2.50000e-02
4.01195e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.27510e+00,0.00000e+00,4.39193e+05,1.00000e-15,2.94118e+00,-0.00000e+00,0.00000e+00,-1.00525e+05,1.32987e+00,5.02623e+04,0.00000e+00,5.02623e+04,-2.40902e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.55000e-01,3.55000e-01,0.00000e+00,2.50000e-02
3.88289e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.28116e+00,0.00000e+00,4.39241e+05,1.00000e-15,2.94510e+00,-0.00000e+00,0.00000e+00,-1.00933e+05,1.24538e+00,5.04667e+04,0.00000e+00,5.04667e+04,-2.27686e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,3.60000e-01,3.60000e-01,0.00000e+00,2.50000e-02
